## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7343                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2882841046	SMP	1	1375.98	494.51	0.00	0.00	26.08	26.08	5.87	0.00	0.00	0.00	1378.42	494.56	1384.52	494.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	-8.83	61.65	733.84	0.00	0.00	0.00	0.27	-0.08	-0.96	0.00	0.00	0.00	0		
2882857710	SMP	1	1375.67	494.94	0.00	0.00	26.68	26.68	5.87	0.00	0.00	0.00	1378.15	494.70	1384.27	494.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	-8.78	61.69	734.56	0.00	0.00	0.00	0.27	-0.09	-0.96	0.00	0.00	0.00	0		
2882874364	SMP	1	1375.49	495.54	0.00	0.00	26.54	26.54	5.87	0.00	0.00	0.00	1378.14	495.25	1384.23	495.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	-8.79	61.64	735.59	0.00	0.00	0.00	0.28	-0.09	-0.95	0.00	0.00	0.00	0		
2882891024	SMP	1	1377.62	495.94	1143.92	497.00	26.44	26.44	5.87	27.30	27.30	6.16	1379.16	495.73	1385.38	495.63	1148.24	497.28	1154.02	497.30	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.03	61.46	734.60	46.51	63.40	762.49	0.23	-0.09	-0.97	0.30	-0.06	-0.95	0		
2882907689	SMP	1	1379.65	496.41	0.00	0.00	26.53	26.53	5.87	0.00	0.00	0.00	1380.43	496.33	1386.63	496.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	-9.33	61.33	734.84	0.00	0.00	0.00	0.20	-0.09	-0.98	0.00	0.00	0.00	0		
2882924348	SMP	1	1379.87	496.47	1145.58	497.35	26.51	26.51	5.86	27.52	27.52	6.18	1380.51	496.45	1387.10	496.41	1149.51	497.54	1155.59	497.59	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.31	60.78	728.58	45.87	62.94	757.68	0.20	-0.08	-0.98	0.28	-0.07	-0.96	0		
2882941005	SMP	1	1379.99	496.04	1146.04	496.86	26.75	26.75	5.86	27.46	27.46	6.20	1380.79	496.16	1387.23	496.27	1149.73	497.31	1155.78	497.38	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.38	60.95	729.92	45.71	62.83	755.72	0.20	-0.07	-0.98	0.27	-0.06	-0.96	0		
2882957655	SMP	1	1380.05	495.36	1145.63	496.24	26.21	26.21	5.84	27.48	27.48	6.21	1380.75	495.56	1387.27	495.48	1149.74	496.72	1155.65	496.74	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.34	60.90	727.45	45.80	63.09	757.08	0.20	-0.07	-0.98	0.29	-0.06	-0.96	0		
2882974324	SMP	1	1379.99	494.92	1145.68	496.24	26.00	26.00	5.81	27.55	27.55	6.22	1380.55	495.43	1387.17	495.38	1149.42	496.45	1155.56	496.47	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.25	60.56	723.10	45.50	62.67	751.25	0.19	-0.06	-0.98	0.27	-0.07	-0.96	0		
2882991022	SMP	1	1379.55	495.34	1145.31	496.47	26.67	26.67	5.81	27.43	27.43	6.22	1380.45	495.39	1386.77	495.29	1149.33	496.43	1155.11	496.47	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.27	61.04	728.57	45.93	63.18	757.30	0.20	-0.08	-0.98	0.28	-0.08	-0.96	0		
2883007640	SMP	1	1379.64	495.29	1145.25	496.44	26.25	26.25	5.81	27.31	27.31	6.23	1380.34	495.42	1386.46	495.43	1149.19	496.50	1154.90	496.53	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.26	61.32	732.15	46.05	63.27	758.59	0.19	-0.08	-0.98	0.28	-0.08	-0.96	0		
2883024315	SMP	1	1379.74	494.99	1144.87	496.36	26.22	26.22	5.80	27.04	27.04	6.22	1380.35	495.44	1386.48	495.44	1149.12	496.54	1154.80	496.57	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.27	61.35	732.60	46.14	63.35	759.74	0.19	-0.06	-0.98	0.29	-0.07	-0.95	0		
2883040981	SMP	1	1379.59	495.62	1145.01	496.66	26.86	26.86	5.82	27.25	27.25	6.22	1380.49	495.49	1386.83	495.55	1149.25	496.61	1155.04	496.72	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.28	61.00	728.60	46.01	63.20	758.23	0.20	-0.09	-0.98	0.29	-0.08	-0.95	0		
2883057658	SMP	1	1380.06	495.58	1145.15	496.91	26.67	26.67	5.82	27.03	27.03	6.21	1380.61	495.63	1387.10	495.61	1149.44	497.06	1155.38	497.08	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.28	60.69	725.25	45.76	62.86	755.25	0.19	-0.08	-0.98	0.30	-0.07	-0.95	0		
2883074293	SMP	1	1380.14	495.53	1145.48	496.89	26.44	26.44	5.81	27.35	27.35	6.21	1380.84	495.91	1387.18	495.77	1149.45	497.33	1155.56	497.32	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.35	60.86	727.86	45.48	62.44	750.93	0.19	-0.07	-0.98	0.28	-0.06	-0.96	0		
2883090984	SMP	1	1380.13	495.48	1145.34	497.07	26.48	26.48	5.81	27.17	27.17	6.20	1380.74	495.70	1387.22	495.58	1149.47	497.10	1155.49	497.12	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-9.30	60.64	724.69	45.52	62.54	751.61	0.19	-0.07	-0.98	0.29	-0.08	-0.95	0		
